BATS,LNAME,FNAME,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,TEAM,YEAR
L,Kurihara, Ryoya,32,45,39,4,9,0,1,1,14,7,0,0,0,1,3,0,2,10,1,0.231,0.359,0.311,H,2019
L,Makihara, Taisei,114,436,409,37,99,14,2,3,126,27,10,13,12,1,10,0,4,85,2,0.242,0.308,0.267,H,2019
R,Masago, Yusuke,12,23,21,4,3,0,0,0,3,1,2,0,1,0,1,0,0,11,0,0.143,0.143,0.182,H,2019
R,Masuda, Shu,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,H,2019
R,Matsuda, Nobuhiro,143,576,534,64,139,25,2,30,258,76,5,3,2,4,33,4,3,115,14,0.26,0.483,0.305,H,2019
R,Matsuda, Ryoma,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
L,Matsumoto, Yuki,7,3,2,0,1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0.5,1,0.5,H,2019
R,Mima, Yuki,15,22,22,4,2,1,0,1,6,1,0,0,0,0,0,0,0,5,0,0.091,0.273,0.091,H,2019
L,Mimori, Masaki,24,51,48,7,10,2,2,0,16,1,3,2,0,0,2,0,1,17,0,0.208,0.333,0.255,H,2019
L,Miranda, Ariel,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
L,Moinelo, Livan,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
R,Mori, Yuito,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
L,Nakamura, Akira,44,159,139,10,34,3,1,3,48,11,0,0,3,1,15,0,1,13,0,0.245,0.345,0.321,H,2019
R,Nakata, Kenichi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
R,Niho, Akira,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
R,Nishida, Tetsuro,7,8,8,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.125,0.25,0.125,H,2019
R,Nomura, Daiju,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,H,2019
R,Okumura, Masato,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
L,Otake, Kotaro,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,H,2019
L,Senga, Kodai,26,6,6,0,2,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0.333,0.5,0.333,H,2019
R,Shiino, Arata,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
L,Shuto, Ukyo,102,114,102,39,20,3,2,1,30,6,25,5,10,0,2,0,0,27,1,0.196,0.294,0.212,H,2019
R,Suarez, Robert,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,H,2019
R,Sugiyama, Kazuki,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
R,Takahashi, Jumpei,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
R,Takahashi, Rei,23,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25,H,2019
L,Takata, Tomoki,93,125,115,6,18,1,0,0,19,10,2,0,6,0,3,0,1,36,1,0.157,0.165,0.185,H,2019
L,Takaya, Hiroaki,55,42,30,2,5,0,0,1,8,1,0,0,7,0,5,0,0,15,0,0.167,0.267,0.286,H,2019
R,Takeda, Shota,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
R,Tanaka, Seigi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
L,Taura, Fumimaru,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
R,Tsukada, Masayoshi,18,24,18,1,4,0,0,1,7,3,0,0,0,0,5,2,1,6,1,0.222,0.389,0.417,H,2019
R,Uchikawa, Seiichi,137,535,500,49,128,21,0,12,185,41,3,0,1,4,28,4,2,49,16,0.256,0.37,0.296,H,2019
L,Uebayashi, Seiji,99,286,258,28,50,6,2,11,93,31,10,4,6,1,18,2,3,75,2,0.194,0.36,0.254,H,2019
R,van den Hurk, Rick,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,2019
L,Wada, Tsuyoshi,12,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,H,2019
L,Yanagita, Yuki,38,157,128,17,37,6,1,7,66,23,4,1,0,0,28,2,1,28,4,0.289,0.516,0.42,H,2019
R,Aiuchi, Makoto,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Akiyama, Shogo,143,678,590,112,179,31,4,20,278,62,12,8,0,1,78,2,9,108,8,0.303,0.471,0.392,L,2019
R,Awatsu, Kaito,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Enokida, Daiki,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Genda, Sosuke,135,609,540,90,148,23,6,2,189,41,30,9,25,3,40,0,1,67,9,0.274,0.35,0.324,L,2019
R,Heath, Deunte,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Hirai, Katsunori,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,L,2019
R,Honda, Keisuke,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Imai, Tatsuya,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,L,2019
R,Ito, Sho,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
S,Kaneko, Yuji,133,524,463,60,116,8,1,3,135,33,41,10,6,3,49,1,3,81,3,0.251,0.292,0.324,L,2019
R,Kimura, Fumikazu,130,441,391,46,86,12,3,10,134,38,16,9,15,6,24,0,5,101,3,0.22,0.343,0.27,L,2019
L,Koishi, Hirotaka,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Kokuba, Tsubasa,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Komazuki, Hitoto,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143,L,2019
R,Kumashiro, Masato,33,17,15,5,4,1,0,0,5,0,2,1,1,0,1,0,0,5,0,0.267,0.333,0.313,L,2019
R,Kuo, Chun-Lin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Kuriyama, Takumi,123,466,409,35,103,21,0,7,145,54,0,0,3,3,48,2,3,100,13,0.252,0.355,0.333,L,2019
r,Liao, Jen-Lei,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Martin, Kyle,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Masuda, Tatsushi,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Matsumoto, Naoaki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Matsumoto, Wataru,16,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,L,2019
R,Mejia, Ernesto,75,147,128,13,27,9,0,6,54,31,0,0,0,4,15,0,0,46,2,0.211,0.422,0.286,L,2019
R,Minamikawa, Tadasuke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Mizuguchi, Daichi,20,11,10,5,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0.091,L,2019
L,Mori, Tomoya,135,573,492,96,162,34,2,23,269,105,3,2,1,6,72,3,2,89,9,0.329,0.547,0.413,L,2019
R,Moriwaki, Ryosuke,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,L,2019
L,Nagae, Kyohei,27,26,21,4,2,1,0,0,3,1,1,1,1,0,4,0,0,12,0,0.095,0.143,0.24,L,2019
R,Nakamura, Takeya,135,557,496,69,142,30,0,30,262,123,2,1,0,3,54,5,4,123,12,0.286,0.528,0.359,L,2019
R,Nakata, Shota,2,9,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0.125,0.125,0.125,L,2019
R,Neal, Zach,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Noda, Shogo,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Ogawa, Ryuya,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Oishi, Tatsuya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Okada, Masatoshi,36,78,61,8,16,3,1,1,24,7,0,0,6,0,9,0,2,12,1,0.262,0.393,0.375,L,2019
L,Saito, Hiromasa,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
L,Saito, Shogo,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,L,2019
L,Sano, Yasuo,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,2019
R,Sato, Ryusei,52,63,59,6,13,6,0,2,25,7,0,0,1,0,3,0,0,14,1,0.22,0.424,0.258,L,2019
L,Suzuki, Shohei,16,28,26,4,4,0,0,0,4,1,1,1,1,0,1,0,0,6,1,0.154,0.154,0.185,L,2019
