BATS,LNAME,FNAME,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,TEAM,YEAR
R,Uemoto, Hiroki,62,119,104,10,20,4,0,1,27,6,5,0,3,1,11,0,0,37,1,0.192,0.26,0.267,T,2019
R,Umeno, Ryutaro,129,492,433,49,115,22,3,9,170,59,14,3,16,3,34,4,6,83,16,0.266,0.393,0.326,T,2019
R,Yamazaki, Noriharu,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,T,2019
R,Yokawa, Naomasa,28,60,55,3,6,1,0,3,16,4,0,0,1,0,4,1,0,19,2,0.109,0.291,0.169,T,2019
R,Akama, Ken,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
L,Azuma, Katsuki,7,13,10,0,1,0,0,0,1,0,0,0,2,0,1,0,0,8,0,0.1,0.1,0.182,Y,2019
R,Barrios, Edison,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Y,2019
L,Escobar, Edwin,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
L,Fujioka, Yoshiaki,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
L,Hamaguchi, Haruhiro,17,27,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,Y,2019
L,Hamaya, Kodai,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Hirata, Shingo,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
R,Hosokawa, Seiya,36,83,72,9,16,2,0,1,21,10,0,0,0,1,8,0,2,24,1,0.222,0.292,0.313,Y,2019
L,Iizuka, Satoshi,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
L,Imanaga, Shota,25,56,43,2,7,0,0,0,7,1,0,0,11,0,2,0,0,9,2,0.163,0.163,0.2,Y,2019
R,Ino, Shoichi,15,21,17,1,4,0,0,0,4,1,0,0,3,0,1,0,0,5,0,0.235,0.235,0.278,Y,2019
L,Ishida, Kenta,40,15,12,1,2,1,0,0,3,4,0,0,3,0,0,0,0,4,1,0.167,0.25,0.167,Y,2019
L,Ishikawa, Takehiro,50,113,101,14,21,3,1,2,32,5,1,3,6,0,5,0,1,34,1,0.208,0.317,0.252,Y,2019
R,Ito, Hikaru,84,301,256,30,65,8,0,8,97,27,5,5,3,2,37,6,3,45,4,0.254,0.379,0.352,Y,2019
R,Ito, Yukiya,21,57,52,7,15,4,0,4,31,7,0,0,0,1,3,0,1,17,1,0.288,0.596,0.333,Y,2019
L,Kajitani, Takayuki,41,110,93,13,20,5,0,5,40,15,3,0,1,0,16,1,0,20,1,0.215,0.43,0.33,Y,2019
R,Kamichatani, Taiga,25,48,44,4,8,0,0,0,8,4,0,0,4,0,0,0,0,15,0,0.182,0.182,0.182,Y,2019
L,Kamizato, Kazuki,123,458,427,62,119,31,3,6,174,35,15,10,3,0,26,2,2,121,7,0.279,0.407,0.323,Y,2019
R,Kasai, Takamasa,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
R,Kuniyoshi, Yuki,53,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Y,2019
L,Kuramoto, Toshihiko,24,35,33,1,4,1,0,0,5,2,0,1,0,0,2,0,0,7,0,0.121,0.152,0.171,Y,2019
L,Kusumoto, Taishi,39,81,72,6,15,4,0,1,22,6,0,2,0,0,7,0,2,19,1,0.208,0.306,0.296,Y,2019
R,Kuwahara, Masayuki,72,115,102,14,19,3,1,2,30,7,2,0,3,0,9,0,1,26,0,0.186,0.294,0.259,Y,2019
